ID,TITLE,CATEGORY,PRICE,IMG-HREF,INFO,DETAILS
27,Dot Cotton's Psychedelic Tea Room T-shirt,T-Shirts,26,https://images.teemill.com/ibgubaov0vwynjg534tsk8vtpoafxeqbzrt6gif8d0dlsnuy.png.png?w=1080&h=auto,She's gone beyond,
28,No More Time T-shirt,T-Shirts,26,https://images.teemill.com/pwzt0k2exjp3hlvxwtc3mkftuziikfe3aso17rlbjtgipxqv.png.png?w=1080&h=auto,Celebrate and dance so free,
29,He's Got The Latest Shit T-shirt,T-Shirts,26,https://images.teemill.com/ovisynubbstxskugvk2n8xfisbk8gmedan1nv7agi6pj6z2t.png.png?w=1080&h=auto,"Roland Browning made his Grange Hill debut in 1982: coincidentally the only year that the Roland corporation was manufacturing all three of the magical machines in this picture at the same time. One year later came Roland Rat. Why this era was so rich with iconic Rolands is anyone's guess but it's something I felt worth acknowledging in Paint form.

From the Yamaha PSS-380 I first played with as a toddler trying to emulate my Dad's Jean Michel Jarre records to the Korg X3 I had as a teenager and all the classic Roland sounds I spent my 20s raving to, synths have always been my first love - before Paint, even. Like Roland Browning I was bullied at school but I always had electronic music as an escape. For that reason this piece is very special to me.

Big love and thanks to Henry Shitmat for the tagline - this is taken from his 2004 track ""UK Swampcore Sucks in Comparison to Techstep New Wave Psy-Jungle"" - if you know the track you'll know why I picked these words.",
30,It's Almost Time T-shirt,T-Shirts,26,https://images.teemill.com/jd0m100fnwtfg1ug25g0pr5pd8g7sywrmzecioarhfnodtjf.jpeg.jpg?w=1080&h=1080&v=2,Don't forget to wear your mask.,
31,XP Postcard T-shirt,T-Shirts,26,https://images.teemill.com/lpayisr2lyzhsuzykh9lhpw7ur9t49wfojk6tjmok9riuo29.png.png?w=1080&h=auto,A postcard design from the best operating system that ever was,
32,Vitruvian Beardsley,T-Shirts,26,https://images.teemill.com/ripkdzhn2yxd8wmqmygzbskwle3b0zjh8cfgif4acxu3awhu.png.png?w=1080&h=auto,Behold,
33,Video Sadism Double Print T-shirt,T-Shirts,30,https://images.teemill.com/4ypk3m0dii36ckxqpnuziezq7pqe4lqnucklodne3cptvkdi.jpeg.jpg?w=1080&h=1080&v=2,"In honour of The Video Nasties: 72 sleazy, bloody, gratuitous horror films that were banned by the Tory government in the early 80s. Most were seized by the Police and incinerated. Some distributors even did jail time.",
34,Grinch Hard T-shirt,T-Shirts,26,https://images.teemill.com/jx65lems79mivxjvodrxsznc8dlga2yqyjjmvkhm3val9sha.png.png?w=1080&h=auto,"From the tower he stared with a sour, Grinchy frown,",
35,Treats of Beige T-shirt,T-Shirts,26,https://images.teemill.com/bfqgegmkafhzoacuup0iqaramqvuqpfevpmdia3spm2o6idv.png.png?w=1080&h=auto,The finest British Tapas,
36,80s Halloween Party Art Print,Print,33,,The ultimate 80s Halloween party,
37,The One Who Knocks Twice Art Print,Print,33,,Original request by Joe Badham,
38,Lt. Cdr. Data's Metal Hearts Club Band Art Print,Print,33,,What's the one thing everyone likes more than The Beatles? That's right. Robots.,
39,T2 Stained Glass Art Print,Print,33,,Terminator 2 in the style of ecclesiastical stained glass,
40,Coronation Street Fighter II Art Print,Print,33,,"""Coronation Street Fighter II""",
41,,Print,33,,,
42,,Print,33,,,
43,,Print,33,,,
44,,,33,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
